age,household_size,PHQ4_2,WCRex1,i12_health_22,i12_health_26,i12_health_27,vac2_3,vac2_7,gender_Male,vac_man_6_Yes
52,4,4,4,5,5,5,5,1,0,1
51,2,2,5,5,5,5,5,5,0,1
57,1,0,5,5,4,5,5,1,0,1
64,1,2,2,5,5,5,3,3,0,1
45,5,4,4,5,5,5,5,5,1,0
63,4,4,5,5,5,3,5,5,0,0
63,2,4,4,5,5,4,4,4,1,1
49,4,4,4,5,5,5,4,4,0,1
58,2,1,1,5,5,5,5,3,0,1
75,2,4,4,5,5,5,5,4,1,1
60,2,2,3,5,5,5,3,3,1,1
73,2,4,4,5,5,5,5,5,0,1
60,4,4,4,5,2,2,3,4,0,1
66,1,3,5,5,5,4,4,4,0,1
71,2,4,4,5,5,4,4,4,0,1
53,4,4,4,5,2,2,5,4,0,0
24,4,3,4,4,4,4,4,4,0,0
37,3,3,2,1,4,4,4,1,1,0
54,1,4,2,5,5,5,3,3,0,1
72,4,4,4,5,5,5,3,5,0,0
40,4,2,4,5,5,5,5,5,1,1
60,4,2,3,5,3,5,3,1,0,0
60,1,4,2,5,5,4,5,3,0,1
61,3,2,2,5,5,5,3,3,0,1
46,3,3,3,5,5,5,4,4,0,1
33,4,4,3,5,1,1,3,3,0,0
69,1,4,5,4,5,1,5,4,0,0
53,1,3,2,5,5,5,4,4,0,1
59,1,3,3,5,1,1,3,3,0,0
66,1,3,2,5,5,5,4,2,0,1
58,1,4,4,5,4,5,3,3,0,0
37,3,3,2,5,5,5,3,1,0,0
79,2,2,3,5,5,4,3,3,0,1
49,2,0,2,5,4,4,2,1,0,0
34,2,1,4,5,5,5,3,1,0,0
71,2,4,4,5,5,5,5,5,1,1
64,4,4,4,5,5,5,5,4,0,1
60,5,4,4,5,5,5,5,4,1,0
75,3,3,4,5,5,4,5,4,1,0
80,1,4,5,5,2,4,5,4,1,1
71,1,4,4,5,5,4,3,3,1,0
75,2,4,4,5,5,4,4,4,1,1
72,1,3,4,5,4,5,3,1,0,1
73,1,3,4,5,5,4,2,3,1,1
59,2,1,2,5,5,5,5,3,1,1
46,2,3,3,5,3,2,4,3,0,1
67,2,4,4,5,5,4,4,5,0,1
62,3,4,3,5,5,5,4,2,0,0
49,1,4,3,5,5,4,4,3,1,1
72,1,4,4,5,5,4,3,3,0,1
69,2,4,4,5,5,4,5,4,1,0
79,2,4,3,5,5,4,3,1,0,0
49,3,4,4,5,5,5,4,4,0,0
52,2,4,4,5,5,5,5,5,0,0
73,2,3,4,1,5,5,4,4,0,1
60,2,4,4,5,5,4,4,1,0,0
75,2,4,4,5,5,5,4,2,0,1
31,5,4,3,5,2,1,3,2,0,0
57,2,4,4,5,5,5,3,3,0,1
62,2,4,3,5,5,5,4,2,0,1
84,2,4,4,5,5,5,4,4,1,1
24,3,4,2,5,5,5,5,4,1,0
88,1,4,4,5,5,3,4,4,1,1
54,3,4,2,3,1,1,1,1,0,0
58,1,3,4,5,5,5,5,4,1,1
43,4,1,2,5,5,5,2,3,1,1
83,2,3,4,5,3,3,5,4,1,0
60,3,3,4,5,3,4,2,3,1,1
70,1,3,2,5,5,5,5,3,0,1
70,2,3,5,5,5,5,5,3,0,0
46,5,4,4,5,5,4,5,5,1,1
54,3,4,4,5,5,5,5,3,0,1
63,3,3,4,5,5,4,4,3,0,0
61,2,3,4,5,5,5,2,4,1,0
64,1,3,4,5,5,4,4,4,0,1
42,5,4,4,5,4,4,4,2,1,0
63,2,1,2,5,5,5,3,1,1,1
78,1,4,3,5,5,3,3,2,0,1
75,8,3,4,5,5,1,5,4,0,1
62,2,4,3,5,5,3,4,4,0,0
76,2,4,3,5,5,4,3,4,1,0
31,4,2,4,5,5,5,3,3,0,1
35,1,4,5,5,5,5,5,3,1,0
26,3,4,3,5,5,3,3,4,0,0
40,1,3,3,5,2,4,5,3,0,1
56,3,4,4,5,5,2,5,4,0,1
21,4,3,3,5,5,2,3,1,1,1
26,1,4,4,5,5,3,5,4,0,0
60,1,4,4,5,5,5,3,3,1,1
62,1,4,2,5,1,1,1,1,0,0
66,2,3,4,5,5,5,5,1,0,0
23,5,1,3,5,5,5,5,5,0,1
67,2,4,4,5,5,5,4,3,1,0
71,1,3,5,5,5,5,5,5,0,1
68,2,4,5,5,5,5,5,2,0,1
46,4,2,4,3,3,3,3,3,1,0
71,2,4,5,5,5,5,2,2,1,0
18,3,3,4,5,4,4,4,4,0,0
54,4,4,1,5,5,5,3,3,0,0
66,1,3,4,5,5,5,4,3,1,1
59,2,4,4,5,5,4,2,3,0,1
19,8,3,3,5,5,5,3,2,0,1
49,4,3,3,5,5,4,3,4,0,0
74,2,4,4,5,5,5,5,4,0,1
68,2,3,4,5,5,5,3,3,1,0
35,3,3,2,5,5,5,3,2,0,0
73,1,1,3,5,4,3,2,3,1,0
79,2,3,4,5,5,5,5,5,0,1
36,3,4,4,5,4,5,5,5,0,1
68,2,1,3,5,5,5,4,4,0,1
68,2,4,3,5,5,4,4,4,1,1
64,2,3,4,5,4,5,2,4,0,1
66,2,3,4,5,5,5,4,4,0,1
21,6,3,3,5,5,5,3,3,0,0
71,2,4,5,5,3,5,5,5,1,0
72,2,4,4,5,5,5,5,5,0,1
54,1,2,4,5,5,5,5,4,0,1
47,7,3,4,5,4,4,3,3,0,0
74,1,4,2,5,1,1,1,1,0,0
67,2,0,4,5,5,5,4,4,1,0
56,3,2,4,5,3,2,2,2,1,1
57,1,2,5,5,5,5,5,5,1,0
59,1,2,4,5,5,5,4,3,1,0
47,1,1,3,5,5,5,3,3,0,1
55,2,3,4,5,4,4,3,3,1,1
37,2,3,4,5,5,5,4,3,0,1
22,4,4,2,5,5,5,1,1,0,0
74,1,4,2,5,4,4,2,2,1,1
62,2,4,4,5,4,4,5,5,1,0
68,2,4,5,5,5,5,3,3,1,1
68,2,4,5,5,5,4,5,4,1,1
79,2,4,4,5,5,5,5,5,1,0
40,2,3,3,5,3,4,4,1,1,0
69,1,4,4,5,5,4,5,4,1,0
75,2,3,4,5,5,4,5,4,1,1
38,4,4,4,5,5,5,5,3,1,1
54,1,1,4,5,3,2,4,3,1,1
67,1,4,5,5,5,5,4,1,0,0
56,2,4,4,5,4,1,4,3,0,1
54,2,4,4,5,1,4,5,5,0,1
80,1,4,3,5,5,5,5,4,0,1
68,1,4,4,5,5,5,5,3,1,1
58,1,4,4,5,1,5,5,5,0,1
55,1,3,4,5,5,2,2,2,0,1
67,1,3,4,5,3,4,3,4,1,1
52,3,3,2,5,5,4,3,3,0,1
74,2,4,5,5,5,4,5,4,1,0
53,4,2,5,5,5,4,4,3,0,0
66,2,4,4,5,5,5,5,5,0,0
69,2,4,5,5,5,5,5,5,1,1
62,1,4,4,5,5,4,4,4,1,1
76,5,4,2,4,1,1,1,1,1,0
47,2,4,5,5,5,5,4,3,0,0
77,2,4,4,5,5,5,2,3,0,1
59,1,4,1,5,4,4,5,5,1,0
79,2,4,4,5,5,4,4,4,1,1
23,6,3,4,5,5,4,5,4,1,1
68,1,4,4,5,5,5,5,5,1,0
23,2,4,4,5,5,3,5,3,0,1
51,1,1,4,5,1,3,3,3,0,0
62,3,4,4,5,5,5,4,3,1,1
49,2,3,4,5,5,4,4,3,0,0
71,2,4,5,5,5,5,4,5,0,0
32,1,4,4,5,5,5,4,4,0,1
77,1,4,4,5,4,4,4,4,1,1
36,2,3,3,5,4,4,3,3,1,1
79,2,4,4,5,3,3,4,4,0,1
64,2,3,4,5,5,5,5,2,0,0
73,2,4,4,5,5,5,5,5,1,1
29,1,4,3,5,4,3,5,5,0,1
68,2,4,3,5,5,4,2,1,0,0
42,2,4,2,1,5,5,1,1,1,0
74,1,2,4,5,5,5,5,4,0,1
58,2,3,3,5,5,5,4,3,0,1
40,1,4,4,5,5,5,3,3,1,1
59,2,2,2,5,5,5,4,5,0,1
62,2,4,4,5,5,4,5,4,0,1
53,3,4,4,5,5,5,3,3,0,1
25,3,3,4,4,5,4,3,3,0,0
25,5,2,3,5,3,5,1,1,0,0
55,1,4,4,5,5,5,4,4,0,0
56,3,3,3,5,5,5,3,3,0,0
26,2,3,2,5,1,1,4,2,0,0
33,5,3,3,3,3,3,3,3,1,0
22,3,3,1,5,4,4,5,4,1,0
35,3,1,4,4,5,5,3,2,0,0
50,4,4,4,5,5,3,4,1,0,1
62,3,1,5,5,5,5,4,1,1,0
28,5,2,1,5,5,5,3,3,0,0
56,4,3,3,5,5,5,3,3,1,0
66,1,1,3,5,5,4,2,2,0,1
29,4,2,2,5,5,4,1,1,0,0
44,2,4,4,5,5,3,4,4,0,1
74,2,4,2,5,5,5,5,3,1,1
64,1,4,5,5,5,5,5,2,1,1
64,1,4,4,5,1,5,5,3,1,1
71,3,4,5,5,4,3,4,1,0,0
61,4,3,2,5,5,5,3,3,0,1
28,1,3,4,5,3,5,1,1,0,1
38,4,4,4,5,5,4,5,3,1,0
71,2,4,5,5,5,4,4,3,1,1
41,2,2,4,5,5,5,5,3,0,0
55,7,2,4,4,3,3,3,2,1,0
63,1,4,5,5,5,5,5,5,1,1
55,3,1,1,5,5,4,3,1,1,1
63,1,4,4,5,4,4,4,4,1,1
22,2,2,3,5,5,5,5,4,0,1
45,2,3,3,5,5,5,3,1,0,0
68,1,3,4,5,5,5,5,5,1,0
40,2,4,5,5,5,5,5,1,1,1
51,1,4,2,5,5,5,2,1,0,1
64,2,2,4,5,5,5,3,3,0,1
79,2,4,4,5,4,4,5,4,1,1
51,5,4,2,5,5,5,1,1,0,0
42,5,4,2,5,5,4,4,5,0,0
22,1,3,1,5,5,5,4,2,1,1
78,2,4,5,5,5,5,5,3,0,1
73,1,2,3,5,4,4,4,4,0,1
27,6,4,2,5,5,3,1,1,0,0
63,2,4,2,5,1,1,1,1,0,0
25,4,4,3,5,1,1,2,1,0,0
58,2,3,4,5,5,5,4,3,0,0
29,1,4,3,5,5,5,3,1,1,0
55,2,3,3,5,5,4,4,4,1,1
38,4,0,4,5,5,5,5,3,0,1
79,2,4,4,5,5,5,5,4,1,1
58,3,4,4,5,5,4,5,1,0,0
46,3,1,3,5,5,4,2,3,0,0
75,2,4,3,5,5,5,5,4,1,0
26,3,4,4,5,3,3,5,3,1,0
43,6,4,4,5,5,5,4,4,1,0
60,5,2,4,5,4,4,2,4,1,1
47,4,4,4,5,5,5,5,3,1,0
53,4,3,4,5,5,5,5,5,0,1
54,1,4,4,5,5,5,3,3,1,0
34,1,3,2,5,5,4,2,3,0,0
75,2,4,4,5,5,5,4,4,1,1
35,2,4,4,5,5,5,4,3,0,0
28,2,4,5,5,5,3,5,3,0,1
27,3,2,3,5,5,4,5,5,0,1
32,4,3,3,5,4,4,5,5,1,1
63,2,4,1,5,5,5,2,1,1,0
22,2,3,1,5,5,5,2,1,0,0
75,2,4,5,5,5,5,5,5,0,0
53,2,4,2,5,5,5,1,1,0,0
34,1,4,2,5,1,1,1,1,0,0
20,8,4,5,5,4,5,5,5,0,1
28,6,4,4,5,5,5,5,5,0,1
38,3,3,3,5,5,4,3,4,0,1
36,1,4,2,5,5,3,2,4,0,0
61,2,4,4,5,5,3,4,3,1,1
76,2,4,4,5,5,3,5,5,1,0
57,3,3,4,5,5,4,1,3,0,1
68,2,4,4,5,5,5,4,3,0,1
66,2,4,4,5,4,4,4,4,1,1
50,1,3,2,5,5,5,1,1,0,0
49,3,3,4,5,4,4,5,1,1,1
64,2,3,4,5,4,3,2,4,1,1
27,4,3,3,5,5,4,4,5,0,1
25,2,3,3,5,5,3,4,3,0,0
32,2,3,4,5,5,4,3,1,1,0
18,3,1,4,5,5,4,4,3,0,0
73,2,3,4,5,5,4,5,5,1,1
